OUT ID,PID126,PID127,PID129,PID130,PID131,PID132,PID133,PID134,PID135,PID136,PID137,PID140,PID141,PID142,PID143,PID144,PID145,PID146,PID147,PID149,PID207,PID232,PID238,PID239,PID240,PID241,PID242,PID243,PID244,PID245,PID246,PID247,PID248,PID249,PID250,PID251,PID252,PID253,PID255,PID256,PID257,PID258,PID259,PID260,PID261,PID262,PID263,PID264,PID265,PID266,PID267,PID268,PID269,PID270,PID271,PID272,PID273,PID274,PID275,PID276,PID277,PID278,PID279,PID280,PID281,PID282,PID283,PID284,PID285,PID290,PID299,PID300,PID301,PID302,PID303,PID304,PID306,PID309,PID467,PID468,PID469,PID470,PID471,PID472,PID473,PID474,PID475,PID476,PID477,PID478,PID481,PID484,PID485,PID486,PID487,PID488,PID489,PID490,PID491,PID492,PID493,PID494,PID495,PID496,PID497,PID498,PID525,PID526,PID527,PID528,PID529,PID530,PID531,PID532,PID533,PID534,PID535,PID536,PID537,PID538,PID539,PID540,PID541,PID542,PID544,PID545,PID546,PID547,PID548,PID549,PID550,PID551,PID552,PID553,PID554,PID555,PID556,PID560,PID561,PID562,PID563,PID564,PID565,PID566,PID567,PID568,PID569,PID570,PID571,PID572,PID573,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU_2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.8709422,0,0,0,0,0,161.5200961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.38097502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.8221818,0,128.8682292,0,544.2122926,0,202.5569781,0,0,0,369.8224662,197.7362333,375.2185369,0,0,0,0,0,0,0,0,0,0,0,0,131.3636378,0,0,0,0,0,0,0,0,0,0,0,0,0,188.6620725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2727.247749,0,84.28189779,0,0,0,0,337.6426733,369.0892224,988.5052813,0,0,0,0,0,0,0,0,0,0,0,0,0,199.3967022,225.288353,723.2499905,84.11613496,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Cyanobacteriaceae\,,
OTU_539,278.1111723,0,0,122.8512435,144.2574618,69.30732707,0,0,0,0,0,622.3781855,145.3693516,0,874.5210636,0,0,0,0,808.8709422,471.9042546,195.8511924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57991552,0,229.0292942,83.66149099,267.2142546,215.016674,527.6574617,530.8598868,680.7146253,226.7743941,157.7538067,0,0,185.7867854,497.2776067,113.9991807,508.6662346,699.8238613,548.026737,1283.291834,116.7056726,505.3750145,428.2029932,80.91109091,0,128.8682292,518.3556801,272.1061463,0,810.2279123,473.2624592,0,147.0318524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.2988683,652.7796552,194.7499799,198.3186078,128.3421855,0,0,0,0,0,0,188.6620725,62.79778127,0,111.7125561,0,342.0359514,263.8579038,104.9712417,164.3905014,101.2963954,0,125.4877141,167.6090961,859.9004141,0,0,0,128.3428588,0,114.7237204,105.3637916,120.2238154,0,147.4707711,84.28189779,0,0,0,0,0,184.5446112,0,202.7828846,0,0,0,0,0,0,0,0,0,0,0,0,0,563.2208826,271.2187465,168.2322699,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Cyanobacteriaceae, g__, s__\
OTU_6396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.5544948,0,276.2623569,137.2098479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130.4241852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.8372923,0,0,0,405.5657692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Gomphosphaeriaceae\,,
OTU_6421,0,0,0,0,0,0,0,0,568.1001156,93.63489783,247.6832869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.64400838,0,0,0,0,0,0,0,0,0,0,228.0239676,263.8579038,0,164.3905014,0,243.5986782,125.4877141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Gomphosphaeriaceae, g__, s__\
OTU_867,0,0,0,0,0,0,0,0,0,0,371.5249304,124.4756371,145.3693516,0,0,0,0,0,0,0,0,0,0,0,0,161.5200961,412.6634844,913.4370406,690.6558923,548.8393917,0,0,439.2255876,483.0519676,0,226.9037192,99.88663696,0,0,0,157.7397466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.0066843,0,466.8226905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.3397913,501.9679928,495.5522455,1232.041377,796.9906729,387.0382732,154.6396735,282.824266,248.2710281,0,130.4241852,122.41206,131.3636378,461.7393274,0,0,130.555931,0,198.3186078,0,0,104.4787417,0,0,190.1879047,0,565.9862174,188.3933438,0,111.7125561,919.4656303,1026.107854,1847.005326,104.9712417,493.1715042,0,121.7993391,501.9508565,0,214.9751035,0,1014.597591,521.4809536,0,0,0,0,240.4476309,327.2697299,0,252.8456934,0,340.1477518,401.5931742,679.1864614,675.2853466,0,0,0,0,991.6444535,420.197234,430.118262,316.8609835,584.7431158,128.3013555,255.2872603,116.9264022,208.9328357,0,113.2309073,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Gomphosphaeriaceae, g__, s__\
OTU_603,0,0,0,0,0,0,0,0,0,0,0,124.4756371,0,104.5667517,0,0,0,0,178.5467432,0,0,0,195.9459196,192.0310494,150.1018572,0,0,0,0,0,1605.874957,475.084396,732.042646,0,189.387049,226.9037192,499.4331848,54.72673587,338.7861968,659.7055303,52.57991552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233.2746204,0,0,0,0,0,0,0,0,0,0,0,202.5569781,157.7541531,715.6372892,147.0318524,0,0,0,0,0,0,205.3402294,0,0,154.6396735,2262.594128,248.2710281,619.9872081,130.4241852,856.8844198,0,615.6524366,0,123.2988683,130.555931,97.37498995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.7965871,271.6745846,675.2853466,0,593.1031688,811.1315384,600.6618586,1239.555567,0,3440.946096,475.2914753,1559.314975,128.3013555,0,0,1253.597014,121.9293712,0,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Gomphosphaeriaceae, g__, s__\
OTU_2508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.7962692,0,0,0,0,0,0,0,262.7272756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.3825839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Chroococcales, f__Cyanobacteriaceae, g__, s__\
OTU_1118,0,0,0,0,0,0,0,0,0,0,0,0,145.3693516,104.5667517,0,0,0,0,0,0,471.9042546,0,0,0,0,161.5200961,137.5544948,0,138.1311785,0,0,0,0,0,0,0,0,109.4534717,0,0,0,0,0,0,0,0,117.2572137,0,0,0,0,0,0,0,99.45552133,113.9991807,0,0,0,285.175963,0,0,0,0,0,128.8682292,0,0,0,0,0,477.0915261,147.0318524,184.9112331,395.4724666,187.6092685,176.3397913,0,0,0,0,0,0,0,0,0,130.4241852,0,1707.727291,153.9131091,0,0,130.555931,0,0,0,0,0,0,61.88994826,95.09395234,0,0,0,0,0,0,114.0119838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3596399,0,84.28189779,0,0,0,135.8372923,0,553.6338336,593.1031688,0,0,0,0,0,316.8609835,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Stigonematales, f__Rivulariaceae, g__, s__\
OTU_775,0,0,0,0,0,0,0,0,0,0,0,0,145.3693516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.3636378,0,245.1335412,123.2988683,0,0,0,0,0,0,0,0,0,0,94.33103623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.118262,0,0,0,0,0,0,0,0,0,0,90.40624882,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Phormidiaceae, g__Phormidium, s__\
OTU_835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,808.8709422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284.0805735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.71118039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.9143719,0,0,0,0,0,0,0,0,0,0,k__Bacteria, p__Cyanobacteria, c__Oscillatoriophycideae, o__Oscillatoriales, f__Phormidiaceae, g__Phormidium, s__\
